   Date     UTC Time     Local Time       Filter    Gain    Integration     Counts  Counts  Counts    Notes      
22_7_2008    02:02         20:02           Dark       1X          1          12345   12345   12345    Vega
22_7_2008    02:02         20:02          Sky J       1X          1          12345   12345   12345    Vega
22_7_2008    02:02         20:02          Sky H       1X          1          12345   12345   12345    Vega
22_7_2008    02:02         20:02              H       1X          1          12345   12345   12345    Vega
22_7_2008    02:02         20:02              H       1X          1          12345   12345   12345    Vega
22_7_2008    02:03         20:03              H       1X          1          12345   12345   12345    Vega
22_7_2008    02:03         20:03              J       1X          1          12345   12345   12345    Vega
22_7_2008    02:03         20:03              J       1X          1          12345   12345   12345    Vega
22_7_2008    02:03         20:03              J       1X          1          12345   12345   12345    Vega
22_7_2008    02:03         20:03          Sky J       1X          1          12345   12345   12345    Vega
22_7_2008    02:03         20:03          Sky H       1X          1          12345   12345   12345    Vega
22_7_2008    02:03         20:03           Dark       1X          1          12345   12345   12345    Vega
22_7_2008    03:07         21:07           Dark       1X          1          12345   12345   12345    Hd 134659
